Subject_ID,Time,Frame,X-coord,Y-coord,Saccade,Tag
demo,5372.033333,161,311,330,0,looking
demo,5405.4,162,316,324,0,looking
demo,5438.766667,163,322,321,0,looking
demo,5472.133333,164,321,323,0,looking
demo,5505.5,165,328,330,0,looking
demo,5538.866667,166,309,340,0,looking
demo,5572.233333,167,297,357,0,looking
demo,5605.6,168,293,378,0,looking
demo,5638.966667,169,286,398,0,looking
demo,5672.333333,170,297,414,0,looking
demo,5705.7,171,295,424,0,looking
demo,5739.066667,172,333,437,0,looking
demo,5772.433333,173,335,441,0,looking
demo,5805.8,174,410,443,0,looking
demo,5839.166667,175,401,438,0,looking
demo,5872.533333,176,398,439,0,looking
demo,5905.9,177,388,440,0,looking
demo,5939.266667,178,396,441,0,looking
demo,5972.633333,179,390,443,0,looking
demo,6006,180,370,445,0,looking
demo,6039.366667,181,356,449,0,looking
demo,6072.733333,182,346,450,0,looking
demo,6106.1,183,331,450,0,looking
demo,6139.466667,184,300,447,0,looking
demo,6172.833333,185,297,445,0,looking
demo,6206.2,186,287,440,0,looking
demo,6239.566667,187,292,434,0,looking
demo,6272.933333,188,294,431,0,looking
demo,6306.3,189,304,425,0,looking
demo,6339.666667,190,311,423,0,looking
demo,6373.033333,191,321,421,0,looking
demo,6406.4,192,332,421,0,looking
demo,6439.766667,193,322,423,0,looking
demo,6473.133333,194,336,421,0,looking
demo,6506.5,195,351,422,0,looking
demo,6539.866667,196,357,423,0,looking
demo,6573.233333,197,364,418,0,looking
demo,6606.6,198,358,411,0,looking
demo,6639.966667,199,369,402,0,looking
demo,6673.333333,200,360,395,0,looking
demo,6706.7,201,363,387,0,looking
demo,6740.066667,202,380,375,0,looking
demo,6773.433333,203,375,369,0,looking
demo,6806.8,204,391,362,0,looking
demo,6840.166667,205,393,352,0,looking
demo,6873.533333,206,394,342,0,looking
demo,6906.9,207,375,332,0,looking
demo,6940.266667,208,358,323,0,looking
demo,6973.633333,209,356,312,0,looking
demo,7007,210,346,299,0,looking
demo,7040.366667,211,349,290,0,looking
demo,7073.733333,212,344,287,0,looking
demo,7107.1,213,84,270,1,saccade
demo,7140.466667,214,118,345,0,looking
demo,7173.833333,215,121,337,0,looking
demo,7207.2,216,126,335,0,looking
demo,7240.566667,217,118,334,0,looking
demo,7273.933333,218,109,337,0,looking
demo,7307.3,219,120,340,0,looking
demo,7340.666667,220,109,302,0,looking
demo,7374.033333,221,99,294,0,looking
demo,7407.4,222,99,282,0,looking
demo,7440.766667,223,106,268,0,looking
demo,7474.133333,224,120,258,0,looking
demo,7507.5,225,132,247,0,looking
demo,7540.866667,226,145,240,0,looking
demo,7574.233333,227,159,233,0,looking
demo,7607.6,228,168,224,0,looking
demo,7640.966667,229,184,220,0,looking
demo,7674.333333,230,189,219,0,looking
demo,7707.7,231,188,219,0,looking
demo,7741.066667,232,184,219,0,looking
demo,7774.433333,233,190,217,0,looking
demo,7807.8,234,177,217,0,looking
demo,7841.166667,235,168,216,0,looking
demo,7874.533333,236,156,214,0,looking
demo,7907.9,237,153,214,0,looking
demo,7941.266667,238,151,211,0,looking
demo,7974.633333,239,140,210,0,looking
demo,8008,240,140,210,0,looking
demo,8041.366667,241,142,210,0,looking
demo,8074.733333,242,137,210,0,looking
demo,8108.1,243,133,209,0,looking
demo,8141.466667,244,134,211,0,looking
demo,8174.833333,245,142,215,0,looking
demo,8208.2,246,144,217,0,looking
demo,8241.566667,247,161,236,0,looking
demo,8274.933333,248,174,240,0,looking
demo,8308.3,249,257,352,0,looking
demo,8341.666667,250,301,513,0,looking
demo,8375.033333,251,314,228,0,looking
demo,8408.4,252,329,228,0,looking
demo,8441.766667,253,330,228,0,looking
demo,8475.133333,254,318,228,0,looking
demo,8508.5,255,332,228,0,looking
demo,8541.866667,256,333,228,0,looking
demo,8575.233333,257,327,228,0,looking
demo,8608.6,258,328,228,0,looking
demo,8641.966667,259,337,228,0,looking
demo,8675.333333,260,356,228,0,looking
demo,8708.7,261,365,228,0,looking
demo,8742.066667,262,383,228,0,looking
demo,8775.433333,263,400,228,0,looking
demo,8808.8,264,408,228,0,looking
demo,8842.166667,265,419,228,0,looking
demo,8875.533333,266,419,228,0,looking
demo,8908.9,267,415,228,0,looking
demo,8942.266667,268,428,228,0,looking
demo,8975.633333,269,429,228,0,looking
demo,9009,270,437,228,0,looking
demo,9042.366667,271,424,228,0,looking
demo,9075.733333,272,429,228,0,looking
demo,9109.1,273,441,539,0,looking
demo,9142.466667,274,433,535,0,looking
demo,9175.833333,275,441,531,0,looking
demo,9209.2,276,423,528,0,looking
demo,9242.566667,277,425,522,0,looking
demo,9275.933333,278,424,510,0,looking
demo,9309.3,279,414,498,0,looking
demo,9342.666667,280,419,484,0,looking
demo,9376.033333,281,414,471,0,looking
demo,9409.4,282,421,452,0,looking
demo,9442.766667,283,432,436,0,looking
demo,9476.133333,284,424,422,0,looking
demo,9509.5,285,408,409,0,looking
demo,9542.866667,286,395,400,0,looking
demo,9576.233333,287,382,390,0,looking
demo,9609.6,288,379,386,0,looking
demo,9642.966667,289,371,383,0,looking
